package	own_source_loc_rust	is_binary	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
app-containers/netavark-1.16.1	2870688	yes	1305	0	1305	0	OK	./.upstream-cache/netavark-1.16.1/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-1.16.1/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-1.16.1/tonic/src/codec/decode.rs:22:    decoder: Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>,|
app-containers/netavark-1.15.2	2776991	yes	1289	0	1289	0	OK	./.upstream-cache/netavark-1.15.2/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-1.15.2/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-1.15.2/tonic/src/codec/decode.rs:22:    decoder: Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>,|
app-containers/netavark-2.0.0	2682010	yes	1582	0	1582	0	OK	./.upstream-cache/netavark-2.0.0/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-2.0.0/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-2.0.0/tonic/src/codec/decode.rs:23:    decoder: SyncWrapper<Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>>,|
app-containers/netavark-1.14.1	2330675	yes	1289	0	1289	0	OK	./.upstream-cache/netavark-1.14.1/tonic/src/codec/decode.rs:22:    decoder: Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>,|./.upstream-cache/netavark-1.14.1/tonic/src/codegen.rs:11:pub type StdError = Box<dyn std::error::Error + Send + Sync + 'static>;|./.upstream-cache/netavark-1.14.1/tonic/src/codegen.rs:19:pub type BoxFuture<T, E> = self::Pin<Box<dyn self::Future<Output = Result<T, E>> + Send + 'static>>;|
app-containers/netavark-1.17.2	2304527	yes	1530	0	1530	0	OK	./.upstream-cache/netavark-1.17.2/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-1.17.2/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-1.17.2/tonic/src/codec/decode.rs:23:    decoder: SyncWrapper<Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>>,|
app-containers/netavark-1.17.1	2304527	yes	1530	0	1530	0	OK	./.upstream-cache/netavark-1.17.1/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-1.17.1/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-1.17.1/tonic/src/codec/decode.rs:23:    decoder: SyncWrapper<Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>>,|
app-containers/netavark-1.17.0	2304450	yes	1530	0	1530	0	OK	./.upstream-cache/netavark-1.17.0/tonic/src/body.rs:44:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<Body>>(&mut body) {|./.upstream-cache/netavark-1.17.0/tonic/src/body.rs:48:        if let Some(body) = <dyn std::any::Any>::downcast_mut::<Option<BoxBody>>(&mut body) {|./.upstream-cache/netavark-1.17.0/tonic/src/codec/decode.rs:23:    decoder: SyncWrapper<Box<dyn Decoder<Item = T, Error = Status> + Send + 'static>>,|
dev-util/ruff-0.15.21	707674	yes	2910	0	2910	0	OK	./.upstream-cache/ruff-0.15.21/crates/ty_test/src/db.rs:149:    fn system(&self) -> &dyn System {|./.upstream-cache/ruff-0.15.21/crates/ty_test/src/db.rs:202:    fn dyn_clone(&self) -> Box<dyn SemanticDb> {|./.upstream-cache/ruff-0.15.21/crates/ty_test/src/db.rs:330:    fn as_system(&self) -> &dyn WritableSystem {|
dev-util/ruff-0.15.17	681423	yes	2653	0	2653	0	OK	./.upstream-cache/ruff-0.15.17/crates/ty_test/src/db.rs:145:    fn system(&self) -> &dyn System {|./.upstream-cache/ruff-0.15.17/crates/ty_test/src/db.rs:198:    fn dyn_clone(&self) -> Box<dyn SemanticDb> {|./.upstream-cache/ruff-0.15.17/crates/ty_test/src/db.rs:308:    fn as_system(&self) -> &dyn WritableSystem {|
dev-util/ruff-0.15.16	673659	yes	2555	0	2555	0	OK	./.upstream-cache/ruff-0.15.16/crates/ty_test/src/db.rs:145:    fn system(&self) -> &dyn System {|./.upstream-cache/ruff-0.15.16/crates/ty_test/src/db.rs:198:    fn dyn_clone(&self) -> Box<dyn SemanticDb> {|./.upstream-cache/ruff-0.15.16/crates/ty_test/src/db.rs:308:    fn as_system(&self) -> &dyn WritableSystem {|
