adler2	2.0.1	0	|
anstyle-parse	0.2.7	0	|
anstyle-query	1.1.4	0	|
anstyle	1.0.13	7	./crates-cache/anstyle-1.0.13/src/style.rs:131:    pub fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/style.rs:166:    pub fn write_reset_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|./crates-cache/anstyle-1.0.13/src/effect.rs:174:    pub(crate) fn write_to(self, write: &mut dyn std::io::Write) -> std::io::Result<()> {|
anstream	0.6.21	28	./crates-cache/anstream-0.6.21/src/wincon.rs:123:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.21/src/wincon.rs:141:    raw: &mut dyn anstyle_wincon::WinconStream,|./crates-cache/anstream-0.6.21/src/wincon.rs:167:    raw: &mut dyn anstyle_wincon::WinconStream,|
anstyle-wincon	3.0.10	3	./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:34:impl WinconStream for dyn std::io::Write {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:45:impl WinconStream for dyn std::io::Write + Send {|./crates-cache/anstyle-wincon-3.0.10/src/stream.rs:56:impl WinconStream for dyn std::io::Write + Send + Sync {|
aho-corasick	1.1.3	12	./crates-cache/aho-corasick-1.1.3/src/packed/teddy/builder.rs:330:    imp: Arc<dyn SearcherT>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:34:    finder: Arc<dyn PrefilterI>,|./crates-cache/aho-corasick-1.1.3/src/util/prefilter.rs:556:            let finder: Arc<dyn PrefilterI> = match len {|
base64	0.22.1	2	./crates-cache/base64-0.22.1/examples/base64.rs:40:    let mut input: Box<dyn Read> = match opt.file {|./crates-cache/base64-0.22.1/src/decode.rs:70:    fn source(&self) -> Option<&(dyn error::Error + 'static)> {||
bitflags	1.3.2	0	|
as-raw-xcb-connection	1.0.1	0	|
android-properties	0.2.2	0	|
ahash	0.8.12	4	./crates-cache/ahash-0.8.12/src/hash_quality_test.rs:232:fn hash<H: Hash, T: Hasher>(b: &H, hash_builder: &dyn Fn() -> T) -> u64 {|./crates-cache/ahash-0.8.12/src/random_state.rs:113:        static RAND_SOURCE: OnceBox<Box<dyn RandomSource + Send + Sync>> = OnceBox::new();|./crates-cache/ahash-0.8.12/src/random_state.rs:172:            fn get_src() -> &'static dyn RandomSource {|
android-activity	0.6.0	1	./crates-cache/android-activity-0.6.0/src/util.rs:77:pub(crate) fn log_panic(panic: Box<dyn std::any::Any + Send>) {||
block2	0.5.1	25	./crates-cache/block2-0.5.1/src/block.rs:140:        fn takes_static(block: &Block<dyn Fn() + 'static>) {|./crates-cache/block2-0.5.1/src/block.rs:144:        fn takes_elided(block: &Block<dyn Fn() + '_>) {|./crates-cache/block2-0.5.1/src/block.rs:148:        fn takes_unspecified(block: &Block<dyn Fn()>) {|
bytemuck	1.24.0	4	./crates-cache/bytemuck-1.24.0/tests/derive.rs:57:  a: dyn std::fmt::Debug,|./crates-cache/bytemuck-1.24.0/tests/derive.rs:60:type DynDebug = dyn std::fmt::Debug;|./crates-cache/bytemuck-1.24.0/tests/std_tests.rs:14:  struct DisplayTraitObj(dyn Display);|
bumpalo	3.19.0	6	./crates-cache/bumpalo-3.19.0/src/boxed.rs:467:impl<'a> Box<'a, dyn Any> {|./crates-cache/bumpalo-3.19.0/src/boxed.rs:486:    pub fn downcast<T: Any>(self) -> Result<Box<'a, T>, Box<'a, dyn Any>> {|./crates-cache/bumpalo-3.19.0/src/boxed.rs:489:                let raw: *mut dyn Any = Box::into_raw(self);|
arrayref	0.3.9	0	|
calloop-wayland-source	0.3.0	0	|
atomic-waker	1.1.2	0	|
cfg_aliases	0.2.1	0	|
arrayvec	0.7.6	3	./crates-cache/arrayvec-0.7.6/tests/tests.rs:304:    &data as &dyn Send;|./crates-cache/arrayvec-0.7.6/tests/tests.rs:305:    &data as &dyn Sync;|./crates-cache/arrayvec-0.7.6/tests/tests.rs:549:    let t = || -> Result<(), Box<dyn Error>> {|
bytes	1.10.1	10	./crates-cache/bytes-1.10.1/benches/buf.rs:112:                    let buf: &mut dyn Buf =  &mut bufs[i]; |./crates-cache/bytes-1.10.1/benches/buf.rs:126:                    let buf = &mut buf as &mut dyn Buf; |./crates-cache/bytes-1.10.1/benches/buf.rs:139:                    let buf = &mut buf as &mut dyn Buf; |
cc	1.2.40	4	./crates-cache/cc-1.2.40/src/command_helpers.rs:56:    pub(crate) fn print_metadata(&self, s: &dyn Display) {|./crates-cache/cc-1.2.40/src/command_helpers.rs:62:    pub(crate) fn print_warning(&self, arg: &dyn Display) {|./crates-cache/cc-1.2.40/src/command_helpers.rs:68:    pub(crate) fn print_debug(&self, arg: &dyn Display) {|
calloop	0.13.0	23	./crates-cache/calloop-0.13.0/src/list.rs:8:    pub(crate) source: Option<Rc<dyn EventDispatcher<Data> + 'l>>,|./crates-cache/calloop-0.13.0/src/error.rs:41:    OtherError(#[from] Box<dyn std::error::Error + Sync + Send>),|./crates-cache/calloop-0.13.0/src/macros.rs:121:        type Error = Box<dyn std::error::Error + Sync + Send>;|
cfg-if	1.0.3	0	|
cesu8	1.1.0	0	|
cgl	0.3.2	0	|
bitflags	2.9.4	0	|
clap_lex	0.7.5	0	|
colorchoice	1.0.4	0	|
clap_derive	4.5.47	0	|
clipboard-win	5.4.1	0	|
clap_complete	4.5.58	40	./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:44:pub struct ArgValueCompleter(Arc<dyn ValueCompleter>);|./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:108:pub struct ArgValueCandidates(Arc<dyn ValueCandidates>);|./crates-cache/clap_complete-4.5.58/src/engine/custom.rs:152:pub struct SubcommandCandidates(Arc<dyn ValueCandidates>);|
concurrent-queue	2.5.0	0	|
